,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,O19,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O21,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O22,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O23,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O24,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P01,SYBR,,Unkn,,,36.0916725599442,36.0916725599442,0,NaN,NaN,NaN,0,60,
,P02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P13,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P14,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P15,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P16,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P17,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P18,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P19,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P21,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P22,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P23,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,P24,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
